aname,ECI,OKATO,en_rgnames
Altai Territory ,0.5288,1,Altayskiy Kray
Krasnodar Territory ,0.1542,3,Krasnodarskiy Kray
Krasnoyarsk Territory ,-0.0266,4,Krasnoyarskiy Kray
Primorye Territory ,-0.1925,5,Primorskiy Kray
Stavropol Territory ,0.5221,7,Stavropolskiy Kray
Khabarovsk Territory ,-0.0093,8,Khabarovskiy Kray
Amur Region ,-0.0696,10,Amurskaya Oblast
Arkhangelsk Region ,0.148,11,Arkhangelskaya Oblast
Astrakhan Region ,0.3453,12,Astrakhanskaya Oblast
Nenets Autonomous Area ,0.148,13,Nenetskiy Aok
Belgorod Region ,0.3779,14,Belgorodskaya Oblast
Bryansk Region ,0.7287,15,Bryanskaya Oblast
Vladimir Region ,0.7804,17,Vladimirskaya Oblast
Volgograd Region ,0.6784,18,Volgogradskaya Oblast
Vologda Region ,0.242,19,Vologodskaya Oblast
Voronezh Region ,0.3088,20,Voronezhskaya Oblast
Nizhny Novgorod Region ,1.1233,22,Nizhegorodskaya Oblast
Ivanovo Region ,0.408,24,Ivanovskaya Oblast
Irkutsk Region ,0.2751,25,Irkutskaya Oblast
Republic of Ingushetia ,0.0753,26,Respublika Ingushetiya
Kaliningrad Region ,0.1867,27,Kaliningradskaya Oblast
Tver Region ,0.6737,28,Tverskaya Oblast
Kaluga Region ,0.7542,29,Kaluzhskaya Oblast
Kamchatka Territory ,0.0287,30,Kamchatskaya Kray
Kemerovo Region ,0.2351,32,Kemerovskaya Oblast
Kirov Region ,0.501,33,Kirovskaya Oblast
Kostroma Region ,0.2457,34,Kostromskaya Oblast
Samara Region ,0.7211,36,Samarskaya Oblast
Kurgan Region ,0.5112,37,Kurganskaya Oblast
Kursk Region ,0.2686,38,Kurskaya Oblast
St. Petersburg ,1.0724,40,Saint-Petersburg
Leningrad Region ,0.3029,41,Leningradskaya Oblast
Lipetsk Region ,0.2289,42,Lipetskaya Oblast
Magadan Region ,-0.0085,44,Magadanskaya Oblast
Moscow ,1.5536,45,Moscow
Moscow Region ,1.9007,46,Moskovskaya Oblast
Murmansk Region ,-0.1875,47,Murmanskaya Oblast
Novgorod Region ,0.1842,49,Novgorodskaya Oblast
Novosibirsk Region ,0.8246,50,Novosibirskaya Oblast
Omsk Region ,0.7714,52,Omskaya Oblast
Orenburg Region ,0.5631,53,Orenburgskaya Oblast
Orel Region ,0.4641,55,Orlovskaya Oblast
Penza Region ,0.7078,56,Penzenskaya Oblast
Perm Territory ,0.4188,57,Permskiy Krai
Pskov Region ,0.571,58,Pskovskaya Oblast
Rostov Region ,0.7408,60,Rostovskaya Oblast
Ryazan Region ,0.6508,61,Ryazanskaya Oblast
Saratov Region ,0.4403,63,Saratovskaya Oblast
Sakhalin Region ,0.0139,64,Sakhalinskaya Oblast
Sverdlovsk Region ,1.1789,65,Sverdlovskaya Oblast
Smolensk Region ,1.0343,66,Smolenskaya Oblast
Tambov Region ,0.1352,68,Tambovskaya Oblast
Tomsk Region ,0.0321,69,Tomskaya Oblast
Tula Region ,0.3028,70,Tulskaya Oblast
Tyumen Region ,0.3688,71,Tyumenskaya Oblast
Khanty-Mansi Autonomous Area – Yugra ,0.3688,72,Khanty-Mansiyskiy Aok
Ulyanovsk Region ,0.8717,73,Ul'yanovskaya Oblast
Yamal-Nenets Autonomous Area ,0.3688,74,Yamalo-Nenetskiy Aok
Chelyabinsk Region ,0.8519,75,Chelyabinskaya Oblast
Trans-Baikal Territory ,-0.0902,76,Zabaykalskiy Kray
Chukotka Autonomous Area ,0.0096,77,Chukotskiy Aok
Yaroslavl Region ,0.6369,78,Yaroslavskaya Oblast
Republic of Adygea ,-0.0195,79,Respublika Adygeya
Republic of Bashkortostan ,0.3638,80,Respublika Bashkortostan
Republic of Buryatia ,0.676,81,Respublika Buryatia
Republic of Dagestan ,0.4539,82,Respublika Dagestan
Kabardino-Balkaria Republic ,0.0919,83,Kabardino-Balkarskaya Respublika
Republic of Altai ,-0.094,84,Respublika Altay
Republic of Kalmykia ,0.068,85,Respublika Kalmykiya
Republic of Karelia ,0.0897,86,Respublika Karelia
Komi Republic ,0.2091,87,Respublika Komi
Republic of Mari El ,0.3407,88,Respublika Mariy El
Republic of Mordovia ,0.3235,89,Respublika Mordovia
Republic of North Ossetia – Alania ,-0.0088,90,Respublika Severnaya Osetiya
Karachayevo-Cherkessia Republic ,0.0205,91,Karachayevo-Cherkessiya
Republic of Tatarstan ,0.9371,92,Respublika Tatarstan
Republic of Tuva ,0.0578,93,Respublika Tyva
Udmurt Republic ,0.5156,94,Udmurtskaya Respublika
Republic of Khakassia ,-0.0052,95,Respublika Khakasiya
Chechen Republic ,-0.0403,96,Chechenskaya Respublika
Chuvash Republic ,0.918,97,Chuvashskaya Respublika
Republic of Sakha (Yakutia) ,0.0155,98,Respublika Saha (Yakutia)
Jewish Autonomous Region ,-0.1267,99,Evreyskaya AOb
