"inn","graduates_number","gage1","gage2","gage3","gage4","rage1","rage2","rage3","rage4","rage5","wage1","wage2","wage3","wage4","ewage1","ewage2","ewage3","ewage4","ewage5"
"7006000031",44,22,23,24,25,"29","30","40","45","63",14342,16789,21896,20914,26652,31199,40690,38865,26652
"7021042043",118,26,27,28,29,"41","52","54","55","62",18340,20154,20797,22421,18374,20192,20836,22463,18374
"7021020265",118,21,22,23,24,"39","48","53","56","60",12237,17676,15141,16988,19273,27839,23847,26756,19273
"7019016173",308,25,26,27,28,"33","49","52","59","61",14153,16325,19751,18081,18694,21563,26088,23882,18694
"7019026904",142,27,28,29,30,"36","43","45","49","57",24628,29046,25697,27637,26820,31631,27984,30097,26820
"7019016198",116,25,26,27,28,"31","41","47","60","62",15288,16608,17584,18630,18150,19717,20876,22118,18150
"7020012600",175,28,29,30,31,"32","35","44","54","56",20550,23872,26297,28550,23215,26968,29707,32252,23215
"7019026037",165,20,21,22,23,"31","41","48","56","59",14342,15359,18442,19556,24356,26083,31319,33211,24356
"7020014614",14,24,25,26,27,"30","37","46","48","57",31528,29124,36381,39536,49889,46085,57568,62561,49889
"7019029013",174,24,25,26,27,"34","46","49","56","59",16327,17930,20080,20414,29200,32067,35912,36509,29200
"7020015463",97,23,24,25,26,"37","44","60","61","63",11946,13731,14204,15627,19125,21983,22740,25018,19125
"7019029447",306,24,25,26,27,"28","44","52","56","58",29662,32370,37285,42150,40603,44310,51038,57697,40603
"7018016438",115,21,22,23,24,"29","40","59","60","62",12563,16626,18745,20417,24382,32268,36381,39626,24382
"7019012813",287,29,30,31,32,"37","49","51","56","63",19078,22176,23497,23499,19608,22793,24150,24152,19608
"7017001816",92,24,25,26,27,"32","35","52","55","60",20741,22360,24686,26733,32073,34577,38174,41339,32073
"7019002269",23,24,25,26,27,"29","33","46","51","52",19383,20299,21528,26146,31036,32502,34470,41865,31036
"7019037776",16,20,21,22,23,"27","33","41","51","55",11136,8139,12437,14235,18601,13595,20774,23777,18601
"7024013033",116,24,25,26,27,"37","38","51","57","58",16102,18555,21552,22033,26499,30536,35468,36260,26499
"7016000753",85,25,26,27,28,"39","46","50","56","61",12928,15300,15015,16420,13615,16113,15813,17293,13615
"7008002517",34,22,23,24,25,"28","35","42","61","62",12285,13591,14027,17864,19517,21592,22284,28380,19517
"7010001359",17,26,27,28,29,"32","33","37","39","59",10082,17584,16098,16829,11100,19360,17724,18529,11100
"7020015424",304,23,24,25,26,"27","30","43","51","58",13672,17156,18078,20056,19162,24045,25337,28109,19162
"7002007371",155,21,22,23,24,"25","29","30","41","50",11693,13685,13731,14567,17487,20466,20535,21785,17487
